"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0111",540.534307787609,0.0426610961861283,0.195154281662637,0.218601897035887,0.826960174921017,0.866174351040577
"b0112",2425.85423724457,0.828677596407347,0.269358270703862,3.07648840424289,0.00209454449500877,0.00816929842838278
"b0113",1439.22121236987,0.788580510636799,0.357829100037018,2.20379088943638,0.027539053596735,0.0514682093305048
"b0114",12588.8466885764,1.08004503669255,0.321428712897708,3.36013863526954,0.000779033697797276,0.00406489676096669
"b0115",8095.39446444879,1.25684716286559,0.302147736927164,4.15971066223331,3.18651001244061e-05,0.000343556402277849
"b0116",13746.9148482093,1.40179026118519,0.285764224504282,4.90540851856766,9.32330871253248e-07,1.96758737829336e-05
"b0117",479.24787774711,-0.800770274339669,0.307748273657877,-2.60203010993941,0.00926737153604374,0.0228099335208744
"b0118",15385.4014598778,1.58956578325766,0.306733222075289,5.18224199029703,2.19234517674201e-07,5.69876066368975e-06
"b0119",440.13449032205,-0.638301661745603,0.239056666709875,-2.67008517491069,0.00758320080022126,0.0197116981776483
"b0120",923.721148248263,0.586712212324507,0.264963434487366,2.21431388621468,0.0268071940399859,0.050365389243041
"b0121",1180.26921209539,0.893400190926308,0.25678933255611,3.47911722824816,0.000503068469133964,0.00294585286252485
"b0122",250.113348640775,-0.0973875782756158,0.222350753427737,-0.437990772571258,0.661392972460445,0.727202381660919
"b0123",2107.57021132495,1.21715747484779,0.209779241074232,5.80208732100946,6.5494436592619e-09,3.13710992353185e-07
"b0124",2202.96077931672,0.322517226410454,0.232921043945086,1.38466332173271,0.16615543936065,0.226662604158225
"b0125",1140.47546976381,0.759176977855117,0.301618923809649,2.51700711701442,0.0118356438371183,0.0271996494219058
"b0126",1810.15568445455,0.900129945503646,0.299943226544707,3.00100107568017,0.00269093614424775,0.00962392956719813
"b0127",858.611298363545,0.183889236322294,0.236754601660845,0.776708182363943,0.437330958274833,0.520763116114962
"b0128",516.98891938087,0.0536709288324349,0.208891527650208,0.256932051941846,0.797231227064128,0.84227923692054
"b0129",264.287332383074,-0.0369609810528778,0.248782145150029,-0.148567659590636,0.881894793651393,0.908754533559557
"b0130",426.31876100259,-0.548745451296665,0.222827912018656,-2.46264234280812,0.013791741596126,0.0303845966016976
"b0131",1540.69403002849,1.08874681846669,0.323273443721719,3.36788201942101,0.000757480034773306,0.00397677018255986
"b0132",645.643817152624,-0.33192228460113,0.206089427792098,-1.61057405106667,0.107272593377834,0.15766731106442
"b0133",759.294889229041,0.701059799331554,0.279036015734993,2.51243481055638,0.0119901255264974,0.0274363419857533
"b0134",877.58108221624,0.815787851008695,0.24419260681589,3.34075573231323,0.000835506955396728,0.00425582925051143
"b0135",0.111217233070367,-0.167231188066102,4.0804728567969,-0.0409832864805223,0.967309220123485,0.972327093936906
"b0136",0,NA,NA,NA,NA,NA
"b0137",0,NA,NA,NA,NA,NA
"b0138",0,NA,NA,NA,NA,NA
"b0139",0,NA,NA,NA,NA,NA
"b0140",0,NA,NA,NA,NA,NA
"b0141",0,NA,NA,NA,NA,NA
"b0142",163.014895789501,0.282355983159551,0.266817442810815,1.058236598721,0.289947589636565,0.364723096671784
"b0143",2293.56528409196,1.14311952818222,0.26079960605098,4.38313364614042,1.16984296980478e-05,0.000147983400008243
"b0144",221.786379817057,-0.0778440267296521,0.219336354652863,-0.354907087121301,0.722659198912474,0.779725680831151
"b0145",3329.53610778523,0.470834973096489,0.337290847909302,1.39593165961947,0.162735075755355,0.222566451057131
"b0146",2566.61639073197,-0.418615775397787,0.33815863388643,-1.2379272135881,0.215743050679864,0.283958343191903
"b0147",197.012590789083,-0.294157497829378,0.242620420611919,-1.21241854699401,0.225352204801889,0.294957460568147
"b0148",1101.3688736846,0.321386767049478,0.182931689290165,1.75686764986736,0.0789403708460613,0.121620094295901
